"anchor","magnitude","gender","madjust"
"round","0","female",-0.27086385516704
"round","0","male",-0.0553614080652843
"round","0","male",-0.544381825485844
"round","0","female",-0.357800935031635
"round","0","female",0.893787135621614
"round","0","female",-0.212506490776306
"round","0","male",0.00779376054188333
"round","0","female",-0.449778790250314
"round","0","male",-0.478758638896418
"round","0","male",-0.0649122507648686
"round","0","female",0.770031410747732
"round","0","male",-0.29201279269131
"round","0","male",-0.0231653481561094
"round","0","female",-0.318709512391771
"round","0","male",-0.809318468765333
"round","0","female",-0.63249732253282
"round","0","female",-0.0695704476831746
"round","0","female",-0.21644966445664
"round","0","female",0.502305619073065
"round","0","male",-0.00693170485950371
"round","0","male",-0.00767860276112209
"round","0","male",-0.336426342406235
"round","0","female",-0.369993661090103
"round","0","female",-0.205200026115016
"round","0","male",-0.458199310211851
"round","0","male",-0.412653135928675
"round","0","female",-0.280166494352871
"round","0","male",-0.208584434215973
"round","0","female",-0.520282882517666
"round","0","male",-0.134691729625122
"precise","0","female",-0.476336569369121
"precise","0","male",-0.62136702146323
"precise","0","female",-0.408092507944464
"precise","0","female",-0.34253576419547
"precise","0","female",-0.275845957388784
"precise","0","female",-0.47412288767044
"precise","0","male",-0.489726780961153
"precise","0","male",-0.510454955356354
"precise","0","female",-0.296839835751169
"precise","0","female",-0.298487417258536
"precise","0","male",-0.428580798646564
"precise","0","male",-0.327581217705775
"precise","0","female",-0.494907230865022
"precise","0","female",-0.505709805834741
"precise","0","female",-0.145687810200107
"precise","0","female",-0.553787825474424
"precise","0","female",-0.626689123716112
"precise","0","female",0.486053916249149
"precise","0","female",-0.523082031254809
"precise","0","female",-0.274662285959301
"precise","0","female",0.0191472866291102
"precise","0","male",-0.17527359304273
"precise","0","male",-0.485365278563884
"precise","0","female",-0.47426100706634
"precise","0","female",-0.39460824099691
"precise","0","female",0.110509480167116
"precise","0","female",-0.468737349289234
"precise","0","female",-0.381352891395267
"precise","0","female",-0.450719711852954
"precise","0","male",-0.323160837339839
"round","1","female",0.51934655248357
"round","1","female",1.01181188309188
"round","1","male",0.583370821196652
"round","1","male",0.885049310184982
"round","1","female",0.143693194743229
"round","1","female",0.482978065245534
"round","1","female",0.515766409967631
"round","1","female",0.181188372312542
"round","1","female",-0.242649833018804
"round","1","female",0.804222574858224
"round","1","female",0.10052457900457
"round","1","female",0.58510055129505
"round","1","female",1.15834856474938
"round","1","female",0.402030632416501
"round","1","male",-0.30782856591254
"round","1","other",0.744463239694351
"round","1","female",-0.902463056274948
"round","1","female",0.496992693328873
"round","1","male",0.701060676315266
"round","1","male",0.481970150101889
"round","1","female",-0.0305785313853729
"round","1","other",-0.0437145352782378
"round","1","female",0.214949445360663
"round","1","female",0.596973246862953
"round","1","male",0.559770828593461
"round","1","female",0.165068175119988
"round","1","male",-0.122896778642973
"round","1","female",-0.0299961259486807
"round","1","female",0.635995339257527
"round","1","male",0.169814174164401
"precise","1","female",0.392238813776864
"precise","1","female",-0.351945133857558
"precise","1","male",-0.2116537476104
"precise","1","male",-0.0370448123341137
"precise","1","female",0.588906615093588
"precise","1","male",0.0506104603305926
"precise","1","male",0.591617268932782
"precise","1","female",0.584560488134733
"precise","1","male",0.0916374035707301
"precise","1","male",0.211398464411334
"precise","1","female",0.681919932370755
"precise","1","female",0.518185402491438
"precise","1","female",0.182872773567554
"precise","1","male",0.0842955217971414
"precise","1","female",-0.0731405142768518
"precise","1","female",0.0974179234249575
"precise","1","other",0.432572206572532
"precise","1","female",0.402902890243321
"precise","1","female",0.166567740202359
"precise","1","female",-0.0228781077548638
"precise","1","male",0.149137076308695
"precise","1","male",0.297496478446371
"precise","1","female",-0.596973829565089
"precise","1","female",0.616529026072012
"precise","1","female",-0.238328015919435
"precise","1","male",0.25047015203204
"precise","1","male",-0.0918020607555543
"precise","1","female",-0.00398898177861752
"precise","1","female",0.93936167269042
"precise","1","male",0.150632435018985
