"purchase","debttype","likelihood"
"discretionary","credit",8
"discretionary","credit",1.5
"discretionary","credit",6.5
"discretionary","credit",3
"discretionary","credit",4
"need","credit",4
"discretionary","credit",5
"need","credit",8
"need","credit",2
"need","credit",9
"discretionary","credit",7
"discretionary","credit",6
"need","credit",7.5
"need","credit",8
"need","credit",6
"need","credit",5
"need","credit",1
"need","credit",5
"discretionary","credit",2.5
"need","credit",9
"discretionary","credit",9
"discretionary","credit",1
"need","credit",6
"need","credit",7
"need","credit",9
"need","credit",1
"need","credit",6
"discretionary","credit",9
"discretionary","credit",9
"need","credit",6
"discretionary","credit",1
"discretionary","credit",7
"discretionary","credit",3
"discretionary","credit",1
"need","credit",8
"need","credit",8.5
"discretionary","credit",3.5
"need","credit",6.5
"discretionary","credit",9
"need","credit",9
"discretionary","credit",1
"need","credit",9
"need","credit",9
"need","credit",1
"discretionary","credit",1
"discretionary","credit",9
"need","credit",9
"need","credit",8.5
"need","credit",8.5
"discretionary","credit",5
"discretionary","credit",7
"discretionary","credit",9
"discretionary","credit",9
"discretionary","credit",6.5
"discretionary","credit",5
"discretionary","credit",3
"discretionary","credit",2.5
"need","credit",9
"discretionary","credit",9
"need","credit",6.5
"discretionary","credit",7
"need","credit",7
"need","credit",5
"discretionary","credit",7.5
"need","credit",7
"discretionary","credit",5
"discretionary","credit",3.5
"need","credit",6.5
"need","credit",9
"need","credit",1
"need","credit",5
"discretionary","credit",2
"need","credit",7
